strategy,intra_group_distance,inter_group_variance,complementarity,engagement_balance,demographic_fairness,cluster_coverage,outcome_diversity,at_risk_concentration,high_risk_group_rate,outcome_balance
random,2.9127931246884504,1.129220962524414,0.6017441860465116,0.37295949474158213,0.5953217955651704,0.802325581395349,0.5465116279069767,0.2703488372093023,0.03488372093023256,0.38847181662832975
stratified,2.8043536493416283,1.4182310104370117,0.5668604651162791,0.3799606335659027,0.5886627906976745,0.7558139534883721,0.5174418604651163,0.2703488372093023,0.023255813953488372,0.3948457065384665
mode_a,0.5498571841767533,5.018801689147949,0.26176470588235295,0.6450027514942174,0.5845417236662107,0.3490196078431372,0.4264705882352941,0.27294117647058824,0.17647058823529413,0.6031396927844621
mode_b,3.2296383667928414,0.39687007665634155,0.6656976744186046,0.26099001177117515,0.5902176852352623,0.8875968992248064,0.5319767441860465,0.2703488372093023,0.023255813953488372,0.32993266982207453
