dataset,n_learners,feature_count,winner,k,silhouette,bootstrap_ari_mean,mode_a_intra,mode_a_random_intra,mode_a_p,mode_b_diversity_wins,mode_b_complementarity,mode_b_cluster_coverage,mode_b_engagement_balance,mode_b_outcome_balance
OULAD AAA_2014J,344,35,C05 umap+kmeans,3,0.4320158064365387,0.5562841768840584,0.5866998123181072,2.8837410572823616,0.009900990099009901,6,0.6715116279069767,0.8953488372093027,0.16839841938439226,0.3235587799119379
UCI Student Performance,649,17,C05 umap+kmeans,3,0.8164495229721069,0.989961320374465,0.4601049561761191,7.472708406580416,0.009900990099009901,5,0.733640081799591,0.9734151329243355,0.10024491016345259,0.37497605065040013
