intra_group_distance,inter_group_variance,complementarity,cluster_coverage,engagement_balance,demographic_fairness_sex,demographic_fairness_address,demographic_fairness,outcome_diversity,at_risk_concentration,high_risk_group_rate,outcome_balance,baseline_run
7.500860179636086,9.409971237182617,0.5833333333333333,0.7730061349693251,0.3820355667981002,0.21381644247402798,0.18130299564218666,0.19755971905810732,0.8573619631901841,0.0,0.0,0.39286463592689497,0
7.682143064606067,8.875958442687988,0.6037832310838446,0.7995910020449898,0.38854029282201585,0.19608978418898354,0.1897027360009579,0.19289626009497074,0.8558282208588958,0.0,0.0,0.4222037508324054,1
7.50164856901738,9.472528457641602,0.591002044989775,0.7832310838445807,0.39889984747236307,0.2135761798078529,0.16698570397748938,0.19028094189267114,0.848159509202454,0.0,0.0,0.4006284678823285,2
7.755670881831863,8.367497444152832,0.6099182004089979,0.8077709611451944,0.3503217360819328,0.1979575310135776,0.17392575017094097,0.1859416405922593,0.8650306748466258,0.0,0.0,0.4000650190520199,3
7.266566345332992,10.827116966247559,0.5828220858895705,0.7730061349693251,0.42813892305765366,0.22421863429974068,0.16545196164620102,0.19483529797297083,0.838957055214724,0.0,0.0,0.4183623426527966,4
7.386037623850608,10.150690078735352,0.5777096114519427,0.7668711656441718,0.3900837871327755,0.19336654472351678,0.18853450802083432,0.19095052637217555,0.843558282208589,0.0,0.0,0.40426001638499254,5
7.394982587722887,10.40273380279541,0.6002044989775052,0.7955010224948876,0.38882908220439427,0.2059807285709334,0.19423227806819365,0.20010650331956353,0.8619631901840491,0.0,0.0,0.40485665232700396,6
7.601464497006413,9.13869857788086,0.5961145194274028,0.7914110429447853,0.38953644631511447,0.20111875750328495,0.18685030611826908,0.19398453181077702,0.8588957055214724,0.0,0.0,0.34182139399057876,7
7.235495090898828,11.348828315734863,0.5782208588957055,0.7668711656441718,0.38532402848285535,0.20708672458178543,0.1765560355557236,0.19182138006875452,0.8819018404907976,0.0,0.0,0.35714651891090593,8
7.487409580105316,9.300085067749023,0.5736196319018405,0.7607361963190185,0.40393718368158127,0.2163829203966461,0.2024098739290587,0.2093963971628524,0.852760736196319,0.0,0.0,0.40834447135324886,9
7.475853113818117,9.503528594970703,0.5838445807770961,0.7750511247443763,0.38295170864466926,0.20385223767255584,0.18831472676226757,0.1960834822174117,0.8650306748466258,0.0,0.0,0.38664400466564564,10
7.573505863569092,9.513712882995605,0.6048057259713702,0.801635991820041,0.39061600897688836,0.2019742501441576,0.1929159537561326,0.19744510195014509,0.8573619631901841,0.0,0.0,0.393376595929488,11
7.241467969676072,11.134771347045898,0.5920245398773006,0.7852760736196319,0.3827541427319009,0.20904821323351008,0.1961291715113073,0.20258869237240867,0.8496932515337423,0.0,0.0,0.40462458656796396,12
7.508752971446066,9.608207702636719,0.5817995910020449,0.770961145194274,0.4124644546387903,0.1897775719133731,0.21219762352652027,0.20098759771994668,0.8634969325153374,0.0,0.0,0.3795578242484395,13
7.314890492541237,10.585850715637207,0.579243353783231,0.7668711656441718,0.3740214915609885,0.2177394197774774,0.17326876963458016,0.19550409470602878,0.8665644171779141,0.0,0.0,0.42085576844235584,14
7.633657505404477,8.755794525146484,0.593558282208589,0.7873210633946829,0.3896959599798518,0.20436348511631863,0.18144872873478465,0.19290610692555166,0.8619631901840491,0.0,0.0,0.3746519882655367,15
7.321831364598296,10.399336814880371,0.5766871165644172,0.7648261758691207,0.36998421599533654,0.22131815188381684,0.21358563276521061,0.21745189232451373,0.8374233128834356,0.0,0.0,0.38891268538257,16
7.5244154158243335,9.436931610107422,0.5966257668711656,0.7914110429447853,0.41534606304660626,0.207003223458459,0.19284190559016387,0.19992256452431145,0.8512269938650306,0.0,0.0,0.42421840373107456,17
7.5906937817200415,9.281439781188965,0.5945807770961145,0.7893660531697343,0.405332376150684,0.19882326435825454,0.19364698245846215,0.19623512340835836,0.8834355828220859,0.0,0.0,0.3741841964042541,18
7.561592662863368,9.715118408203125,0.6073619631901841,0.8057259713701432,0.35948757132641307,0.19413853624106303,0.18093748129102188,0.18753800876604246,0.8834355828220859,0.0,0.0,0.3967428915614092,19
7.191165083454326,11.196011543273926,0.5756646216768916,0.7627811860940695,0.39629190947337756,0.23683281814715731,0.20380024640708846,0.2203165322771229,0.838957055214724,0.0,0.0,0.38577845550968876,20
7.231879233239319,11.136940002441406,0.5823108384458077,0.7730061349693251,0.359495385627348,0.21185495382230332,0.17750448227728044,0.1946797180497919,0.8696319018404908,0.0,0.0,0.396904922753841,21
7.370041424089213,10.441449165344238,0.5874233128834356,0.7791411042944786,0.37685383589769283,0.20530247888051775,0.1729032552834154,0.18910286708196658,0.8711656441717791,0.0,0.0,0.39495664407857756,22
