strategy,intra_group_distance,inter_group_variance,complementarity,cluster_coverage,engagement_balance,demographic_fairness_sex,demographic_fairness_address,demographic_fairness,outcome_diversity,at_risk_concentration,high_risk_group_rate,outcome_balance
random,7.500860179636086,9.409971237182617,0.5833333333333333,0.7730061349693251,0.3820355667981002,0.21381644247402798,0.18130299564218666,0.19755971905810732,0.8573619631901841,0.0,0.0,0.39286463592689497
stratified,8.237753594834778,6.393713474273682,0.6436605316973415,0.852760736196319,0.3800510741128378,0.1158034541106185,0.17808977788701194,0.14694661599881523,0.8696319018404908,0.0,0.0,0.38462569142377395
mode_a,0.4601049561761191,39.621482849121094,0.2577639751552795,0.34368530020703936,0.5551367090905186,0.4724612160131687,0.2276105618773268,0.35003588894524773,0.8198757763975155,0.0,0.0,0.5729267414198611
mode_b,8.97235559624427,2.741959571838379,0.733640081799591,0.9734151329243355,0.10024491016345259,0.11426971177933017,0.08291661546314766,0.0985931636212389,0.8558282208588958,0.0,0.0,0.37497605065040013
