strategy,intra_group_distance,inter_group_variance,complementarity,cluster_coverage,engagement_balance,demographic_fairness_imd_band_ord,demographic_fairness,outcome_diversity,at_risk_concentration,high_risk_group_rate,outcome_balance
random,2.9442086476735723,1.1617538928985596,0.6046511627906976,0.806201550387597,0.37295949474158213,0.5953217955651704,0.5953217955651704,0.5465116279069767,0.2703488372093023,0.03488372093023256,0.38847181662832975
stratified,2.8489957047777614,1.4099799394607544,0.5668604651162791,0.7558139534883721,0.3799606335659027,0.5886627906976745,0.5886627906976745,0.5174418604651163,0.2703488372093023,0.023255813953488372,0.3948457065384665
mode_a,0.5866998123181072,4.978682041168213,0.25882352941176473,0.3450980392156862,0.6211032147467237,0.5911422708618332,0.5911422708618332,0.43529411764705883,0.2723529411764706,0.16470588235294117,0.5953161869213884
mode_b,3.238403880638918,0.45553821325302124,0.6715116279069767,0.8953488372093027,0.16839841938439226,0.49868171984856685,0.49868171984856685,0.5319767441860465,0.2703488372093023,0.046511627906976744,0.3235587799119379
