strategy,metric,value,random_mean,random_std,random_percentile,p_greater_or_equal,p_less_or_equal,preferred_direction,preferred_p_value,n_random_runs
mode_a,intra_group_distance,0.5866998123181072,2.8837410572823616,0.06042770801791779,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_a,inter_group_variance,4.978682041168213,1.3375447869300843,0.15054176495815094,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,complementarity,0.25882352941176473,0.5727906976744187,0.013609619446622395,0.0,1.0,0.009900990099009901,higher,1.0,100
mode_a,cluster_coverage,0.3450980392156862,0.763720930232558,0.01814615926216324,0.0,1.0,0.009900990099009901,higher,1.0,100
mode_a,engagement_balance,0.6211032147467237,0.3748614088490626,0.02336606955087626,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,demographic_fairness_imd_band_ord,0.5911422708618332,0.5907385749053542,0.007057051694350537,0.51,0.49504950495049505,0.5148514851485149,two-sided,0.49504950495049505,100
mode_a,demographic_fairness,0.5911422708618332,0.5907385749053542,0.007057051694350537,0.51,0.49504950495049505,0.5148514851485149,lower,0.5148514851485149,100
mode_a,outcome_diversity,0.43529411764705883,0.5303779069767443,0.010313624113143457,0.0,1.0,0.009900990099009901,higher,1.0,100
mode_a,at_risk_concentration,0.2723529411764706,0.2703488372093022,1.1102230246251565e-16,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,high_risk_group_rate,0.16470588235294117,0.0608139534883721,0.020856134989127164,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,outcome_balance,0.5953161869213884,0.40972873947863553,0.029827725717174347,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_b,intra_group_distance,3.238403880638918,2.8837410572823616,0.06042770801791779,1.0,0.009900990099009901,1.0,higher,0.009900990099009901,100
mode_b,inter_group_variance,0.45553821325302124,1.3375447869300843,0.15054176495815094,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_b,complementarity,0.6715116279069767,0.5727906976744187,0.013609619446622395,1.0,0.009900990099009901,1.0,higher,0.009900990099009901,100
mode_b,cluster_coverage,0.8953488372093027,0.763720930232558,0.01814615926216324,1.0,0.009900990099009901,1.0,higher,0.009900990099009901,100
mode_b,engagement_balance,0.16839841938439226,0.3748614088490626,0.02336606955087626,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_b,demographic_fairness_imd_band_ord,0.49868171984856685,0.5907385749053542,0.007057051694350537,0.0,1.0,0.009900990099009901,two-sided,0.009900990099009901,100
mode_b,demographic_fairness,0.49868171984856685,0.5907385749053542,0.007057051694350537,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_b,outcome_diversity,0.5319767441860465,0.5303779069767443,0.010313624113143457,0.57,0.5643564356435643,0.5742574257425742,higher,0.5643564356435643,100
mode_b,at_risk_concentration,0.2703488372093023,0.2703488372093022,1.1102230246251565e-16,1.0,1.0,1.0,lower,1.0,100
mode_b,high_risk_group_rate,0.046511627906976744,0.0608139534883721,0.020856134989127164,0.33,0.801980198019802,0.33663366336633666,lower,0.33663366336633666,100
mode_b,outcome_balance,0.3235587799119379,0.40972873947863553,0.029827725717174347,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
