intra_group_distance,inter_group_variance,complementarity,cluster_coverage,engagement_balance,demographic_fairness_imd_band_ord,demographic_fairness,outcome_diversity,at_risk_concentration,high_risk_group_rate,outcome_balance,baseline_run
2.9442086476735723,1.1617538928985596,0.6046511627906976,0.806201550387597,0.37295949474158213,0.5953217955651704,0.5953217955651704,0.5465116279069767,0.2703488372093023,0.03488372093023256,0.38847181662832975,0
2.8638616580890517,1.3430384397506714,0.561046511627907,0.7480620155038761,0.3511475277548108,0.5879867495943754,0.5879867495943754,0.5436046511627907,0.2703488372093023,0.05813953488372093,0.4028969358986391,1
2.978098551814958,1.091943621635437,0.5959302325581395,0.7945736434108528,0.3254565024747919,0.5902852893455923,0.5902852893455923,0.5319767441860465,0.2703488372093023,0.046511627906976744,0.3876331469033119,2
2.7940942376177653,1.543781042098999,0.5552325581395349,0.7403100775193798,0.4117573214803931,0.5783531638723636,0.5783531638723636,0.5145348837209303,0.2703488372093023,0.06976744186046512,0.39836811938354205,3
2.8554160341822357,1.391213297843933,0.5726744186046512,0.7635658914728681,0.3798789832705653,0.5925500270416442,0.5925500270416442,0.5290697674418605,0.2703488372093023,0.09302325581395349,0.42906343131920016,4
2.8679015043583416,1.4050463438034058,0.5813953488372093,0.7751937984496127,0.3560927641089696,0.5891360194699836,0.5891360194699836,0.5348837209302325,0.2703488372093023,0.05813953488372093,0.392161963418409,5
2.835911925216463,1.4584829807281494,0.5581395348837209,0.7441860465116279,0.36650675929915727,0.5875473228772309,0.5875473228772309,0.5290697674418605,0.2703488372093023,0.06976744186046512,0.43258584416427576,6
2.8753234541621415,1.3334137201309204,0.5930232558139535,0.7906976744186048,0.3637123035307644,0.5908599242833964,0.5908599242833964,0.5290697674418605,0.2703488372093023,0.05813953488372093,0.42637968819914274,7
2.8822707013767754,1.3346691131591797,0.5755813953488372,0.7674418604651163,0.3787176908829733,0.578691184424013,0.578691184424013,0.5436046511627907,0.2703488372093023,0.05813953488372093,0.40658708268871835,8
2.842580192470558,1.4534093141555786,0.563953488372093,0.7519379844961239,0.4174902430366314,0.6040765278528935,0.6040765278528935,0.5406976744186046,0.2703488372093023,0.05813953488372093,0.376730440478078,9
