variant,description,n_features,winner,reducer_clusterer,k,silhouette,bootstrap_ari_mean,mode_a_intra_group_distance,mode_b_complementarity,mode_b_cluster_coverage,mode_b_engagement_balance,mode_b_demographic_fairness,mode_b_outcome_balance
all_features_reference,All 35 engineered features,35,C05,umap+kmeans,3,0.4320158064365387,0.5562841768840584,0.5866998123181072,0.6715116279069767,0.8953488372093027,0.16839841938439226,0.49868171984856685,0.3235587799119379
engagement_only,Engagement + collaboration activity,21,C05,umap+kmeans,4,0.4740176498889923,0.5542767044563743,0.5297161352557872,0.7616279069767442,0.7616279069767442,0.1834440413565794,0.5011492698756084,0.3713629542379628
performance_only,Assessment performance only,6,C05,umap+kmeans,3,0.5294890999794006,0.5764070977887514,0.5039084875770198,0.5901162790697675,0.786821705426357,0.17847644368720758,0.4988169280692266,0.4101094955337939
engagement_performance,"Engagement + performance, no demographics",27,C05,umap+kmeans,3,0.4586988389492035,0.5480932125663244,0.5859754793569574,0.6744186046511628,0.8992248062015505,0.2008393336406873,0.4983436992969173,0.3938393028684449
demographics_context,Demographics + course context only,8,C05,umap+kmeans,4,0.7198206186294556,0.7957043084707941,0.5404412881806063,0.6656976744186046,0.6656976744186046,0.19717302279006466,0.4976338561384532,0.3831043303882147
